"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-9-30","2,288.97","2,335.54","2,339.19","2,288.19","948.93M","-1.89%"
"2022-9-29","2,333.00","2,343.28","2,359.12","2,321.56","989.45M","0.83%"
"2022-9-28","2,313.77","2,367.48","2,367.48","2,313.77","10.22K","-2.57%"
"2022-9-27","2,374.74","2,336.04","2,374.74","2,325.65","1.12B","2.22%"
"2022-9-26","2,323.05","2,288.23","2,358.48","2,285.64","1.03B","0.83%"
"2022-9-23","2,303.91","2,320.92","2,336.29","2,275.29","990.23M","-0.67%"
"2022-9-22","2,319.42","2,309.29","2,348.76","2,302.64","929.88M","-0.52%"
"2022-9-21","2,331.52","2,353.78","2,358.96","2,322.95","1.04B","-1.50%"
"2022-9-20","2,366.90","2,366.79","2,397.92","2,351.89","974.12M","0.70%"
"2022-9-19","2,350.38","2,360.58","2,389.48","2,339.03","1.22B","-0.72%"
"2022-9-16","2,367.40","2,418.44","2,430.23","2,366.89","1.76B","-2.34%"
"2022-9-15","2,424.19","2,512.45","2,515.21","2,404.44","1.33B","-3.18%"
"2022-9-14","2,503.82","2,512.28","2,527.28","2,486.08","971.71M","-1.83%"
"2022-9-13","2,550.63","2,566.84","2,569.11","2,537.28","1.01B","0.09%"
"2022-9-9","2,548.22","2,535.74","2,551.05","2,525.77","1.12B","1.00%"
"2022-9-8","2,523.01","2,570.05","2,572.12","2,521.54","1.09B","-1.86%"
"2022-9-7","2,570.80","2,525.15","2,584.85","2,522.38","1.11B","1.19%"
"2022-9-6","2,540.64","2,541.12","2,542.98","2,493.43","1.11B","0.10%"
"2022-9-5","2,538.20","2,528.71","2,553.11","2,519.89","1.04B","0.20%"
"2022-9-2","2,533.02","2,548.18","2,552.34","2,517.46","1.07B","-0.03%"
"2022-9-1","2,533.85","2,561.93","2,584.62","2,531.81","1.15B","-1.42%"
"2022-8-31","2,570.41","2,596.16","2,611.65","2,550.99","1.49B","-1.60%"
"2022-8-30","2,612.14","2,630.13","2,632.13","2,594.78","1.16B","-0.70%"
"2022-8-29","2,630.51","2,599.84","2,641.17","2,595.71","1.19B","-0.37%"
"2022-8-26","2,640.29","2,666.21","2,677.73","2,634.43","1.32B","-1.01%"
"2022-8-25","2,667.30","2,688.86","2,694.16","2,634.85","1.42B","-0.44%"
"2022-8-24","2,679.05","2,800.38","2,803.43","2,675.88","1.77B","-3.64%"
"2022-8-23","2,780.31","2,775.21","2,802.05","2,764.52","1.43B","0.05%"
"2022-8-22","2,779.02","2,730.42","2,782.67","2,715.16","1.57B","1.64%"
"2022-8-19","2,734.22","2,779.99","2,780.10","2,733.05","1.80B","-1.50%"
"2022-8-18","2,775.82","2,771.15","2,797.49","2,769.21","1.79B","-0.08%"
"2022-8-17","2,777.91","2,739.48","2,783.93","2,719.22","1.89B","1.70%"
"2022-8-16","2,731.39","2,725.93","2,759.52","2,718.17","1.41B","0.47%"
"2022-8-15","2,718.59","2,688.66","2,734.33","2,686.82","1.41B","1.03%"
"2022-8-12","2,690.83","2,712.69","2,717.68","2,689.67","1.48B","-1.13%"
"2022-8-11","2,721.49","2,672.18","2,724.85","2,650.88","2.27B","2.37%"
"2022-8-10","2,658.58","2,688.13","2,692.25","2,645.55","1.35B","-1.34%"
