"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-10-4","11,582.54","11,477.85","11,609.25","11,464.27","282.59M","3.14%"
"2022-10-3","11,229.73","11,055.90","11,296.32","10,985.59","290.68M","2.36%"
"2022-9-30","10,971.22","11,123.11","11,296.06","10,967.37","331.84M","-1.73%"
"2022-9-29","11,164.78","11,334.57","11,339.54","11,039.29","284.97M","-2.86%"
"2022-9-28","11,493.83","11,256.99","11,546.70","11,210.81","285.99M","1.97%"
"2022-9-27","11,271.75","11,410.53","11,501.79","11,175.73","250.68M","0.16%"
"2022-9-26","11,254.11","11,282.88","11,471.73","11,235.86","258.45M","-0.51%"
"2022-9-23","11,311.24","11,393.59","11,400.86","11,169.83","274.74M","-1.66%"
"2022-9-22","11,501.65","11,579.63","11,616.40","11,448.90","253.96M","-1.17%"
"2022-9-21","11,637.79","11,900.37","12,062.29","11,637.19","262.51M","-1.80%"
"2022-9-20","11,851.54","11,853.43","11,951.10","11,762.07","223.79M","-0.85%"
"2022-9-19","11,953.28","11,752.43","11,956.15","11,752.43","231.26M","0.77%"
"2022-9-16","11,861.38","11,779.01","11,874.93","11,711.27","728.23M","-0.55%"
"2022-9-15","11,927.49","12,035.22","12,152.64","11,868.30","281.72M","-1.71%"
"2022-9-14","12,134.40","12,092.03","12,170.25","12,017.28","273.02M","0.84%"
"2022-9-13","12,033.62","12,362.97","12,417.62","12,004.42","361.37M","-5.54%"
"2022-9-12","12,739.72","12,649.23","12,752.51","12,640.19","225.82M","1.20%"
"2022-9-9","12,588.29","12,424.15","12,610.04","12,424.15","228.29M","2.17%"
"2022-9-8","12,321.19","12,139.57","12,372.38","12,120.38","229.80M","0.50%"
"2022-9-7","12,259.39","12,035.33","12,297.74","12,028.77","237.10M","2.07%"
"2022-9-6","12,011.31","12,108.11","12,150.94","11,929.67","244.30M","-0.72%"
"2022-9-2","12,098.44","12,366.57","12,450.89","12,036.40","248.62M","-1.44%"
"2022-9-1","12,274.63","12,158.00","12,289.77","12,013.56","276.69M","0.02%"
"2022-8-31","12,272.03","12,447.56","12,500.79","12,268.71","314.46M","-0.57%"
"2022-8-30","12,342.70","12,562.40","12,571.91","12,240.83","232.04M","-1.13%"
"2022-8-29","12,484.32","12,487.76","12,593.90","12,440.81","219.33M","-0.96%"
"2022-8-26","12,605.17","13,129.15","13,172.93","12,605.17","307.91M","-4.10%"
"2022-8-25","13,143.58","12,984.74","13,146.76","12,951.67","208.27M","1.75%"
"2022-8-24","12,917.86","12,875.67","12,995.03","12,843.58","177.66M","0.28%"
"2022-8-23","12,881.79","12,885.28","13,000.58","12,853.05","179.20M","-0.07%"
"2022-8-22","12,890.54","13,055.20","13,071.81","12,860.38","221.54M","-2.66%"
"2022-8-19","13,242.90","13,369.78","13,400.77","13,210.98","248.56M","-1.95%"
"2022-8-18","13,505.99","13,473.78","13,553.28","13,405.74","189.20M","0.26%"
"2022-8-17","13,470.86","13,499.24","13,591.58","13,390.41","196.22M","-1.21%"
"2022-8-16","13,635.21","13,619.65","13,720.71","13,508.50","180.15M","-0.23%"
"2022-8-15","13,667.18","13,529.66","13,685.48","13,525.87","166.16M","0.75%"
"2022-8-12","13,565.87","13,384.65","13,565.87","13,341.71","208.94M","2.06%"
"2022-8-11","13,291.99","13,471.03","13,555.02","13,271.76","198.24M","-0.65%"
"2022-8-10","13,378.32","13,330.66","13,386.85","13,220.83","255.48M","2.85%"
"2022-8-9","13,008.17","13,063.34","13,094.14","12,945.62","214.75M","-1.15%"
"2022-8-8","13,159.16","13,223.95","13,394.53","13,104.18","202.32M","-0.37%"
"2022-8-5","13,207.69","13,110.10","13,286.02","13,070.36","214.90M","-0.78%"
"2022-8-4","13,311.04","13,253.77","13,326.72","13,171.44","221.47M","0.44%"
"2022-8-3","13,253.26","12,980.47","13,287.26","12,980.32","282.67M","2.73%"
"2022-8-2","12,901.60","12,859.08","13,070.98","12,822.00","210.80M","-0.30%"
"2022-8-1","12,940.78","12,877.69","13,084.30","12,833.40","226.14M","-0.06%"
"2022-7-29","12,947.97","12,784.20","12,981.47","12,727.13","339.80M","1.81%"
"2022-7-28","12,717.87","12,581.08","12,741.54","12,433.55","244.83M","0.92%"
"2022-7-27","12,601.47","12,300.48","12,654.64","12,258.92","301.61M","4.26%"
"2022-7-26","12,086.90","12,251.29","12,255.87","12,051.24","224.01M","-1.96%"
"2022-7-25","12,328.41","12,391.21","12,415.59","12,244.99","188.91M","-0.55%"
